id,type,src,dst,app,latency,message,ctime,size,buffer
1111,LINK,194,190,3,28.6895075,M.USER.APP.3,8600,2758030,588
1112,LINK,196,185,3,48.6895075,M.USER.APP.3,8600,2758030,589
1113,LINK,169,112,4,72.99310725,M.USER.APP.4,8600,3972429,590
1114,LINK,187,94,5,28.995454666666667,M.USER.APP.5,8600,2986364,591
1115,LINK,194,190,6,28.57688125,M.USER.APP.6,8600,2307525,592
1116,LINK,198,196,7,56.450138333333335,M.USER.APP.7,8600,4350415,593
1117,LINK,199,197,8,61.031902,M.USER.APP.8,8600,3095706,594
1118,LINK,197,173,9,57.47923766666667,M.USER.APP.9,8600,4437713,595
483,LINK,74,153,1,37.373908666666665,M.USER.APP.1,8605.086848305553,4121726,594
1095,LINK,15,6,2,32.5938254,M.USER.APP.2,8608.276330699999,2969127,594
1085,LINK,109,3,3,32.39400428571429,M.USER.APP.3,8609.424667500003,2758030,594
755,LINK,112,3,0,22.323292333333335,M.USER.APP.0,8610.211592000003,1939754,593
730,LINK,106,15,1,30.4121726,M.USER.APP.1,8610.388846750024,4121726,593
752,LINK,185,106,7,57.725069166666664,M.USER.APP.7,8614.837479500022,4350415,593
1097,LINK,7,53,2,34.5938254,M.USER.APP.2,8615.7814762,2969127,593
961,LINK,0,15,8,14.343967333333334,M.USER.APP.8,8625.02804286665,3095706,593
1111,LINK,190,109,3,54.551606,M.USER.APP.3,8628.6895075,2758030,592
1114,LINK,94,3,5,22.42662342857143,M.USER.APP.5,8628.995454666667,2986364,592
755,LINK,3,5,0,15.1939754,M.USER.APP.0,8632.534884333336,1939754,592
975,LINK,173,110,9,19.479237666666666,M.USER.APP.9,8634.856237333315,4437713,592
1096,LINK,7,53,2,34.5938254,M.USER.APP.2,8637.583534399999,2969127,592
961,LINK,15,68,8,15.515951,M.USER.APP.8,8639.372010199984,3095706,592
554,LINK,74,153,4,37.324143,M.USER.APP.4,8639.528229305553,3972429,592
730,LINK,15,7,1,18.588818,M.USER.APP.1,8640.801019350023,4121726,592
1095,LINK,6,53,2,14.2969127,M.USER.APP.2,8640.870156099998,2969127,592
1108,LINK,175,106,2,36.989709,M.USER.APP.2,8640.989709,2969127,592
1085,LINK,3,7,3,11.14515947368421,M.USER.APP.3,8641.818671785717,2758030,592
755,LINK,5,12,0,22.323292333333335,M.USER.APP.0,8647.728859733335,1939754,592
1114,LINK,3,15,5,26.33181822222222,M.USER.APP.5,8651.422078095238,2986364,591
1085,LINK,7,66,3,22.34475375,M.USER.APP.3,8652.963831259402,2758030,591
975,LINK,110,6,9,34.554714125,M.USER.APP.9,8654.335474999982,4437713,591
1116,LINK,196,185,7,49.08760375,M.USER.APP.7,8656.450138333334,4350415,589
1115,LINK,190,109,6,54.461505,M.USER.APP.6,8657.266388749998,2307525,589
730,LINK,7,9,1,34.68695433333333,M.USER.APP.1,8659.389837350023,4121726,589
1117,LINK,197,173,8,57.031902,M.USER.APP.8,8661.031902,3095706,589
756,LINK,185,106,1,57.68695433333333,M.USER.APP.1,8663.867911000021,4121726,588
1089,LINK,109,117,6,42.57688125,M.USER.APP.6,8663.886172500002,2307525,588
735,LINK,106,15,3,30.275803,M.USER.APP.3,8667.848518416691,2758030,588
488,LINK,74,153,3,36.91934333333333,M.USER.APP.3,8673.83467708333,2758030,587
1085,LINK,66,145,3,15.459671666666667,M.USER.APP.3,8675.308585009401,2758030,587
1109,LINK,64,7,2,60.5938254,M.USER.APP.2,8676.989709,2969127,587
1110,LINK,107,7,2,38.2969127,M.USER.APP.2,8677.4845635,2969127,587
1114,LINK,15,27,5,12.5972728,M.USER.APP.5,8677.753896317461,2986364,587
1108,LINK,106,15,2,30.2969127,M.USER.APP.2,8677.979417999999,2969127,587
762,LINK,112,4,4,30.7944858,M.USER.APP.4,8683.204699250004,3972429,587
975,LINK,6,1,9,8.24653961111111,M.USER.APP.9,8688.890189124982,4437713,586
974,LINK,173,110,8,19.031902,M.USER.APP.8,8691.888139333316,3095706,584
975,LINK,1,11,9,20.554714125,M.USER.APP.9,8697.136728736094,4437713,583
735,LINK,15,7,3,18.394004285714285,M.USER.APP.3,8698.124321416692,2758030,583
1119,LINK,169,112,0,72.4849385,M.USER.APP.0,8700,1939754,583
1120,LINK,196,185,1,49.0304315,M.USER.APP.1,8700,4121726,584
1121,LINK,195,175,2,40.989709,M.USER.APP.2,8700,2969127,585
1122,LINK,172,64,2,76.989709,M.USER.APP.2,8700,2969127,586
1123,LINK,178,107,2,77.4845635,M.USER.APP.2,8700,2969127,587
1124,LINK,194,190,3,28.6895075,M.USER.APP.3,8700,2758030,588
1125,LINK,196,185,3,48.6895075,M.USER.APP.3,8700,2758030,589
1126,LINK,169,112,4,72.99310725,M.USER.APP.4,8700,3972429,590
1127,LINK,187,94,5,28.995454666666667,M.USER.APP.5,8700,2986364,591
1128,LINK,194,190,6,28.57688125,M.USER.APP.6,8700,2307525,592
1129,LINK,198,196,7,56.450138333333335,M.USER.APP.7,8700,4350415,593
1130,LINK,199,197,8,61.031902,M.USER.APP.8,8700,3095706,594
1131,LINK,197,173,9,57.47923766666667,M.USER.APP.9,8700,4437713,595
492,LINK,74,153,7,37.450138333333335,M.USER.APP.7,8708.318056527774,4350415,594
974,LINK,110,0,8,28.6191412,M.USER.APP.8,8710.920041333316,3095706,594
761,LINK,185,106,3,57.459671666666665,M.USER.APP.3,8712.557418500022,2758030,594
762,LINK,4,101,4,16.6620715,M.USER.APP.4,8713.999185050003,3972429,594
1110,LINK,7,53,2,34.5938254,M.USER.APP.2,8715.7814762,2969127,594
1098,LINK,109,3,3,32.39400428571429,M.USER.APP.3,8718.437778500003,2758030,592
739,LINK,106,104,7,38.4350415,M.USER.APP.7,8725.573587583358,4350415,592
1108,LINK,15,6,2,32.5938254,M.USER.APP.2,8728.421234116691,2969127,592
1124,LINK,190,109,3,54.551606,M.USER.APP.3,8728.6895075,2758030,592
1127,LINK,94,3,5,22.42662342857143,M.USER.APP.5,8728.995454666667,2986364,592
762,LINK,101,171,4,24.7944858,M.USER.APP.4,8730.661256550004,3972429,592
1109,LINK,7,53,2,34.5938254,M.USER.APP.2,8737.583534399999,2969127,591
974,LINK,0,15,8,14.343967333333334,M.USER.APP.8,8739.539182533317,3095706,591
1121,LINK,175,106,2,36.989709,M.USER.APP.2,8740.989709,2969127,591
560,LINK,74,153,0,36.64658466666667,M.USER.APP.0,8742.533584749995,1939754,591
988,LINK,173,110,9,19.479237666666666,M.USER.APP.9,8749.367376999982,4437713,591
1098,LINK,3,7,3,11.14515947368421,M.USER.APP.3,8750.831782785717,2758030,590
1127,LINK,3,15,5,26.33181822222222,M.USER.APP.5,8751.422078095238,2986364,590
974,LINK,15,68,8,15.515951,M.USER.APP.8,8753.883149866651,3095706,590
768,LINK,112,3,0,22.323292333333335,M.USER.APP.0,8755.689637750003,1939754,589
