id,type,app,module,message,DES.src,DES.dst,TOPO.src,TOPO.dst,module.src,service,time_in,time_out,time_emit,time_reception
24,COMP_M,7,7_34,7_(33-34),47,48,153,153,7_33,2.1406140614061404,1888.2274573204813,1890.3680713818874,1888.2274573204813,1888.2274573204813
65,COMP_M,9,9_39,M.USER.APP.9,12,57,197,153,None,4.191819181918192,1920.8807123888882,1925.0725315708064,500.0,1920.8807123888882
65,COMP_M,9,9_40,9_(39-40),57,53,153,153,9_39,2.5602560256025604,1925.0725315708064,1927.632787596409,1925.0725315708064,1925.0725315708064
65,COMP_M,9,9_42,9_(39-42),57,55,153,153,9_39,5.144314431443144,1925.0725315708064,1930.2168460022494,1925.0725315708064,1925.0725315708064
65,COMP_M,9,9_41,9_(40-41),53,54,153,153,9_40,2.1939193919391937,1927.632787596409,1929.8267069883482,1927.632787596409,1927.632787596409
65,COMP_M,9,9_43,9_(42-43),55,56,153,153,9_42,5.398239823982398,1930.2168460022494,1935.6150858262317,1930.2168460022494,1930.2168460022494
58,COMP_M,3,3_9,M.USER.APP.3,5,23,194,153,None,2.0613061306130613,1957.8000557222217,1959.8613618528348,500.0,1957.8000557222217
58,COMP_M,3,3_10,3_(9-10),23,24,153,153,3_9,5.02930293029303,1959.8613618528348,1964.8906647831277,1959.8613618528348,1959.8613618528348
61,COMP_M,5,5_19,M.USER.APP.5,8,33,187,153,None,2.645964596459646,1994.7955103888883,1997.441474985348,500.0,1994.7955103888883
61,COMP_M,5,5_24,5_(19-24),33,38,153,153,5_19,2.088008800880088,1997.441474985348,1999.529483786228,1997.441474985348,1997.441474985348
61,COMP_M,5,5_25,5_(19-25),33,39,153,153,5_19,3.326632663266327,1997.441474985348,2000.7681076486142,1997.441474985348,1997.441474985348
61,COMP_M,5,5_20,5_(19-20),33,34,153,153,5_19,5.9812981298129815,1997.441474985348,2003.422773115161,1997.441474985348,1997.441474985348
61,COMP_M,5,5_22,5_(19-22),33,36,153,153,5_19,3.670967096709671,1997.441474985348,2001.1124420820577,1997.441474985348,1997.441474985348
61,COMP_M,5,5_26,5_(20-26),34,40,153,153,5_20,2.2708270827082706,2003.422773115161,2005.6936001978693,2003.422773115161,2003.422773115161
61,COMP_M,5,5_21,5_(20-21),34,35,153,153,5_20,4.0832083208320835,2003.422773115161,2007.505981435993,2003.422773115161,2003.422773115161
61,COMP_M,5,5_23,5_(20-23),34,37,153,153,5_20,4.345234523452345,2003.422773115161,2007.7680076386132,2003.422773115161,2003.422773115161
64,COMP_M,8,8_35,M.USER.APP.8,11,49,199,153,None,3.658865886588659,2031.8274123888882,2035.486278275477,500.0,2031.8274123888882
64,COMP_M,8,8_36,8_(35-36),49,50,153,153,8_35,3.637063706370637,2035.486278275477,2039.1233419818475,2035.486278275477,2035.486278275477
64,COMP_M,8,8_37,8_(35-37),49,51,153,153,8_35,5.9183918391839185,2035.486278275477,2041.4046701146608,2035.486278275477,2035.486278275477
64,COMP_M,8,8_38,8_(36-38),50,52,153,153,8_36,2.6967696769676968,2039.1233419818475,2041.8201116588152,2039.1233419818475,2039.1233419818475
70,COMP_M,2,2_7,M.USER.APP.2,4,22,178,153,None,4.572357235723572,2068.817121388888,2073.389478624612,600.0,2068.817121388888
70,COMP_M,2,2_8,2_(7-8),22,21,153,153,2_7,3.520952095209521,2073.389478624612,2076.9104307198213,2073.389478624612,2073.389478624612
28,COMP_M,1,1_5,M.USER.APP.1,1,19,196,153,None,4.342334233423342,2106.1910300555546,2110.5333642889777,300.0,2106.1910300555546
28,COMP_M,1,1_6,1_(5-6),19,20,153,153,1_5,3.645964596459646,2110.5333642889777,2114.1793288854374,2110.5333642889777,2110.5333642889777
62,COMP_M,6,6_27,M.USER.APP.6,9,42,194,153,None,3.393939393939394,2142.9602050555545,2146.354144449494,500.0,2142.9602050555545
62,COMP_M,6,6_28,6_(27-28),42,43,153,153,6_27,5.891989198919892,2146.354144449494,2152.246133648414,2146.354144449494,2146.354144449494
62,COMP_M,6,6_29,6_(28-29),43,44,153,153,6_28,6.000300030003,2152.246133648414,2158.246433678417,2152.246133648414,2152.246133648414
62,COMP_M,6,6_30,6_(28-30),43,45,153,153,6_28,2.8644864486448647,2152.246133648414,2155.110620097059,2152.246133648414,2152.246133648414
62,COMP_M,6,6_31,6_(28-31),43,46,153,153,6_28,5.935193519351936,2152.246133648414,2158.1813271677656,2152.246133648414,2152.246133648414
62,COMP_M,6,6_32,6_(29-32),44,41,153,153,6_29,4.658265826582658,2158.246433678417,2162.9046995049994,2158.246433678417,2158.246433678417
68,COMP_M,2,2_7,M.USER.APP.2,2,22,195,153,None,4.572357235723572,2179.9499140555545,2184.5222712912782,600.0,2179.9499140555545
68,COMP_M,2,2_8,2_(7-8),22,21,153,153,2_7,3.520952095209521,2184.5222712912782,2188.0432233864876,2184.5222712912782,2184.5222712912782
