id,type,src,dst,app,latency,message,ctime,size,buffer
492,LINK,198,196,7,56.450138333333335,M.USER.APP.7,3800,4350415,394
493,LINK,199,197,8,61.031902,M.USER.APP.8,3800,3095706,395
494,LINK,197,173,9,57.47923766666667,M.USER.APP.9,3800,4437713,396
415,LINK,7,74,8,10.442243714285715,M.USER.APP.8,3804.4225899333323,3095706,396
471,LINK,15,7,2,18.424161,M.USER.APP.2,3808.2763307,2969127,396
326,LINK,112,100,0,12.24246925,M.USER.APP.0,3809.436082250001,1939754,396
435,LINK,3,7,3,11.14515947368421,M.USER.APP.3,3813.0677807857173,2758030,395
415,LINK,74,153,8,37.031902,M.USER.APP.8,3814.864833647618,3095706,395
473,LINK,7,74,2,10.424161,M.USER.APP.2,3815.7814762000003,2969127,395
327,LINK,185,112,1,55.0304315,M.USER.APP.1,3819.219000250004,4121726,395
326,LINK,100,74,0,34.215528222222225,M.USER.APP.0,3821.678551500001,1939754,395
435,LINK,7,74,3,10.394004285714285,M.USER.APP.3,3824.2129402594014,2758030,395
429,LINK,173,110,9,19.479237666666666,M.USER.APP.9,3825.3883713333325,4437713,395
473,LINK,74,153,2,36.989709,M.USER.APP.2,3826.2056372,2969127,395
471,LINK,7,74,2,10.424161,M.USER.APP.2,3826.7004917,2969127,395
197,LINK,74,153,1,37.373908666666665,M.USER.APP.1,3827.580769527778,4121726,395
487,LINK,190,109,3,54.551606,M.USER.APP.3,3828.6895075,2758030,395
288,LINK,112,100,1,12.51521575,M.USER.APP.1,3829.826803500003,4121726,395
490,LINK,112,100,5,12.3732955,M.USER.APP.5,3832.995454666667,2986364,395
439,LINK,109,3,6,32.32964642857143,M.USER.APP.6,3835.1352815000027,2307525,395
435,LINK,74,153,3,36.91934333333333,M.USER.APP.3,3836.5996414857145,2758030,395
472,LINK,7,74,2,10.424161,M.USER.APP.2,3837.5835343999997,2969127,395
484,LINK,175,106,2,36.989709,M.USER.APP.2,3840.989709,2969127,395
288,LINK,100,74,1,34.45796955555556,M.USER.APP.1,3842.342019250003,4121726,395
429,LINK,110,4,9,12.4437713,M.USER.APP.9,3844.867608999999,4437713,395
471,LINK,74,153,2,36.989709,M.USER.APP.2,3847.0238024857144,2969127,395
490,LINK,100,74,5,34.331818222222225,M.USER.APP.5,3854.715314750003,2986364,394
492,LINK,196,185,7,49.08760375,M.USER.APP.7,3856.450138333333,4350415,394
491,LINK,190,109,6,54.461505,M.USER.APP.6,3857.2663887500003,2307525,394
429,LINK,4,7,9,5.246539611111111,M.USER.APP.9,3857.311380299999,4437713,394
472,LINK,74,153,2,36.989709,M.USER.APP.2,3857.4479634857144,2969127,394
