id,type,app,module,message,DES.src,DES.dst,TOPO.src,TOPO.dst,module.src,service,time_in,time_out,time_emit,time_reception
533,COMP_M,9,9_40,9_(39-40),56,52,153,153,9_39,2.5602560256025604,16372.645252904107,16375.20550892971,16372.645252904107,16372.645252904107
533,COMP_M,9,9_42,9_(39-42),56,54,153,153,9_39,5.144314431443144,16372.645252904107,16377.78956733555,16372.645252904107,16372.645252904107
533,COMP_M,9,9_41,9_(40-41),52,53,153,153,9_40,2.1939193919391937,16375.20550892971,16377.399428321649,16375.20550892971,16375.20550892971
533,COMP_M,9,9_43,9_(42-43),54,55,153,153,9_42,5.398239823982398,16377.78956733555,16383.187807159533,16377.78956733555,16377.78956733555
249,COMP_M,1,1_5,M.USER.APP.1,1,18,196,153,None,4.342334233423342,16405.827342388857,16410.16967662228,2000.0,16405.827342388857
249,COMP_M,1,1_6,1_(5-6),18,19,153,153,1_5,3.645964596459646,16410.16967662228,16413.81564121874,16410.16967662228,16410.16967662228
552,COMP_M,3,3_9,M.USER.APP.3,5,22,194,153,None,2.0613061306130613,16442.746685722188,16444.807991852802,4300.0,16442.746685722188
552,COMP_M,3,3_10,3_(9-10),22,23,153,153,3_9,5.02930293029303,16444.807991852802,16449.837294783094,16444.807991852802,16444.807991852802
287,COMP_M,0,0_0,M.USER.APP.0,0,13,169,153,None,3.874687468746875,16479.393270388857,16483.267957857603,2300.0,16479.393270388857
287,COMP_M,0,0_1,0_(0-1),13,14,153,153,0_0,5.017101710171017,16483.267957857603,16488.285059567774,16483.267957857603,16483.267957857603
287,COMP_M,0,0_3,0_(0-3),13,16,153,153,0_0,5.815981598159816,16483.267957857603,16489.083939455762,16483.267957857603,16483.267957857603
287,COMP_M,0,0_2,0_(1-2),14,15,153,153,0_1,3.855885588558856,16488.285059567774,16492.140945156334,16488.285059567774,16488.285059567774
287,COMP_M,0,0_4,0_(1-4),14,17,153,153,0_1,5.569056905690569,16488.285059567774,16493.854116473463,16488.285059567774,16488.285059567774
603,COMP_M,2,2_7,M.USER.APP.2,4,21,178,153,None,4.572357235723572,16516.382979388854,16520.95533662458,4700.0,16516.382979388854
603,COMP_M,2,2_8,2_(7-8),21,20,153,153,2_7,3.520952095209521,16520.95533662458,16524.476288719787,16520.95533662458,16520.95533662458
